,reference,translation
5200,I think they ought to make the losers keep coming back until they win.,for the losers to have to go back every year until they win.
5201,I have an hour of prime time every night and I will rededicate my life to ruining yours.,"it's my evening's broadcast, and I dedicate my life to destroying yours."
5202,And kicking don't get you nowhere less'n you're a mule.,kicking doesn't get you anywhere today unless you're a mule.
5203,Yeah. Her brain's on the floor. That should do it.,"yes, her brain is on the floor."
5204,Let him go!,"let me go, damn it!"
5205,My idiots!,my dummies!
5206,"About Rose, that girl with the witch of a mother, trying to yank out her uterus.","about Rose, the girl that her mother is trying to rip out the womb."
5207,To vibrate the pond scum.,particles to vibrate on the water tank.
5208,Shoot him up with one of these puppies instead.,give him this puppy instead.
5209,"""You really are dim,"" she said.","""you're really annoying."""
5210,You're the one doing the shooting.,you're the one who's gonna shoot.
5211,"My name is Poussey. Accent a droite, bitch.","my name's Poussey, Accent."
5212,I'm just saying you gotta look like a plastic surgeon's wife.,you have to look like a plastic surgeon's wife.
5213,"No, the pow is in your brain.","no, it's in your head."
5214,That kind of income would fuck-up Mother Teresa.,even Mother Teresa would be in the ass of such an income.
5215,It's a killer.,an outright killer.
5216,"Besides, we've got time to kill before Dutchman's guy shows up.","and besides, we'll be killed by some time before the Dutchman's guy shows up."
5217,"You know, I love her to death, but sometimes I wish I could just reach inside her head, yank out that chip that makes her so--","I like her all the way to my grave, but sometimes I wish I could get in her head and destroy the chip that she's..."
5218,What have you got?,what the hell are you doing?
5219,"Plus, I get to miss my stepdaughter's dance recital, and she is talentless.","besides, I'm gonna miss my stepdaughter's dance show, - she's completely incompetent."
5220,You're too big to be a thief.,you're too big for thieves.
5221,"If you had that collection of bad cells in front of you on the table, you could squash them with one hard hit.","if you had such a cluster of bad cells in front of you on the table, you'd crush it with one strike."
5222,Everyone who craps on you is not necessarily your enemy... ...and everyone who gets you out of crap... ...is not necessarily your friend.,"who looks at you is not necessarily your enemy, and whoever takes you out of poop is not necessarily your friend."
5223,"I'll call her, I'll get her off our backs.","I'll call her, and I'll take her out of my neck."
5224,"Oh, hello. At possibly the most vulnerable time of my life, he seduced me and for most of the last week before my trial we were having sexual intercourse.","oh, hi. But probably in my toughest lifetime, he seduced me and a big part of the week before my trial, we had a sexual relationship."
5225,"SNOW WHITE An Artistic, Extravagant Bullfighter","snow White, an extremely gifted torturer, performs a spectator's ochre"
5226,I just need a little shove in the back.,I just need a little push.
5227,"No, I make the goddamn rules.","no, I set the rules."
5228,"Manny, the brink of extinction is a bad time to be picky","Manny, on the verge of extinction, it's not the time to be so ugly."
5229,How in thunder did you get in here?,how the hell did you get in here?
5230,And many of them are so inert... ...so hopelessly dependenton the system... ...that they will fight to protect it.,many of them are so miserable...... so hopelessly dependent on the system...... that they will fight to protect it.
5231,"And, O my brothers, would you believe... ...your faithful friend and long-suffering narrator... ...pushed out his red yabzick a mile and a half... ...to lick the grahzny, vonny boots.","oh my brothers, you won't believe me... your faithful friend and long suffering narrator..... .That you have earned your sword..... .And ate the tongue... And ate the filthy, smelly boot."
5232,"Educated gentleman,handsome, non-smoker, vital, Sign : Capricorn-Taurus. - Shit!","educated man, handsome, non-smoker, energetic, brand:"
5233,Clear your desk and get the fuck out of here.,get your things and get out of here.
5234,But he killed five of the raiders.',"but he killed five of those yuppies. """
5235,It's bullshit.,nonsense.
5236,We have slain all but one.,"we killed them all, except for one."
5237,Your shit isn't real.,those things aren't real.
5238,"Because if you're not crazy enough to believe it for you, how are you, going to believe it for me?","because as long as you don't believe you can do it, how can you believe I can do it?"
5239,Are you the ortho hunk everyone's talking about?,are you that handsome orthopedic guy everyone's talking about?
5240,She's like rhodesian wet moss.,he's like a Rhodesian moist lichen.
5241,He charges you a weekly hummer.,he charges a weekly blowjob.
5242,You'd call me Lamb Chop and blush whenever I called you Liver Snap.,you should call me lamb chop and blush every time I tell you a torn liver.
5243,"Damn it, you know where she is.",you know where he is.
5244,Coyotes came down from the hills and fucked them.,the coyotes came down from the hills and ruined them.
5245,What is he talking about? He reads lips.,what the hell is he talking about?
5246,Your fly's open. Shut up.,your fly's open.
5247,"“Now, if I refuse, I brand myself coward.”","""if I refuse now, I will have to consider myself a coward."""
5248,"Now, why don't you just take a second and let that sink in there, champ?","now, why don't you hang around for a second... and you won't let that son of a bitch talk to you, champ?"
5249,Hicks is nailing your daughter.,Hicks is banging your daughter.
5250,The state won't be satisfied until he's in the gas chamber at Carson.,the state will not be satisfied until it is suffocated in a gas chamber in Carson.
5251,"Yeah. Yeah, fuck you, too.","yeah, well... you too."
5252,"Put the gun down, Hoodak.","put the gun away, Hoodak."
5253,"And either the paternity test comes back negative,and you shove it in the guy's face, or it comes back positive,and you shut up, and your leg starts hurting.","and the paternity test came back negative... and you laugh with that guy in the face... or it came back positive and you shut up, and your foot starts to ache."
5254,Before you decide… …you should know that Sturgina snores like an asthmatic walrus.,"before you finally decide, you should know Sturgina snores like a walrus with asthma."
5255,Quick reaction force is 20 minutes out. You'll stand the fuck down!,the rapid reaction forces are here in 20 minutes.
5256,You don't deserve this shit.,you don't deserve this.
5257,Don't fucking break anYthing.,not that you'll break anything.
5258,"And, uh... you should write this shit down.",you should write this down.
5259,"I mean, I smelled like a tuna fish's asshole for four years, but it's good work.","four years I smell like tuna tuna, but it's a good job."
5260,Pretty fucking cool way to go.,pretty good way to go.
5261,"They made me a convenient villain, a symbol for dangerous female sexuality.",I struck them as a symbol of a dangerous woman's sexuality.
5262,"You know, it's still the same kid that got his ass kicked in seventh grade, right beside me.",he's still the same guy they beat up in the 7th grade to meet next to me.
5263,"You're like a fucking pitbull in a dog fight-- you dig in, you don't let go.","you're like a pitbull at dog fights, you keep digging."
5264,"If you bring them to Earth, they'il destroy everything.","if you bring them to Earth, everything will be destroyed."
5265,Mine on the Devil!,my money's on the devil!
5266,"The gorilla, meanwhile, seemed to notice that we had been busy photographing its dung and merely stalked off into the undergrowth.","the gorilla noted that we engaged in taking photographs of her excrement, and took off in the thicket."
5267,"He told me if he ever caught me t'other side of it, he'd whale the tar out of me.","he told me if he ever catches me on the other side, he'll cut me up when I'm blue."
5268,At 160 meters we can shoot... a bunch of junk from the forward tubes.,"at 160th meters, we can fire some kind of a mess from the front main."
5269,That's bullshit.,that's messed up.
5270,If all we humans knew of life on Earth was the goddamn truth...,if only we knew the wrong truth in our lives...
5271,"""He kill them with they love"", John said.","""he killed them with their love,"" John said."
5272,So why try to kill me?,then why kill me?
5273,The whole time you've been jazzing You are a disloyal husband!,you've lied all the time. You're a disloyal husband!
5274,"It's still illegal for two girls to get married in India... ...you'll have to go to New York, Aditi!",but homosexual relationships are illegal in India...... you have to go to New York.
5275,"The poor bugger was essentially murdered on the table because two senior surgeons didn't like each other, and one wouldn't bail the other out when the boat began to leak badly.","the poor guy was practically murdered on the table, because the two main surgeons didn't like each other, and one didn't want to hold the other when it started to look pale."
5276,Jesus.,goddamn!
5277,Better hurry that ass up.,I better hurry.
5278,"""Excuse me, Skeeve, but big fat hairy deal.","""sorry, skeeve, but that's big, fat, hairy, nothing."
5279,"""Miss, before marrying my son, have you ever seen him poo?""","""miss, before you marry my son, did you see him poop?"""
5280,"Fuck out of here, Jane Fonda.","go away, Jane Fonda."
5281,You owe your miserable existence to me.,you owe your life to me.
5282,His feet stunk.,his feet smelled.
5283,"""Summon me to your bed and revile me freely while you-""","""summon me to your bed and give me freely at -"""
5284,"Eh, Tony, what if these fucking Brennans show up, mate?","hey, Tony, what if they show you Brennan, man?"
5285,"GARRISON: ""We are living"" under a brutal slave oligarchy ""that now threatens to starve us if we do not do their evil bidding.",we live under the rule of a brutal slave oligarchy who now threatens to be a beggar-thy-servant if we can't resist her vile encouragement.
5286,"So Elissa's not talking to me, and I'm sure Ryan thinks I'm against him, like everyone else in this ridiculous town.","so Elissa doesn't talk to me, and Ryan definitely thinks I'm against him like everyone in this absurd city."
5287,"Simple G.S.W. I got the bullet, but he's still bleeding.","I took a bullet, he's still bleeding."
5288,I was such a nerd back then.,I was such an idiot back then.
5289,"Well, you gave up that claim... ...after the first time you stuck your dickin Maxine, Lotte.",you gave up your right when you first stuffed your dick in Maxine.
5290,"No, she's not.",she's not stupid.
5291,"What's this? Uh, there's some weird prison sex going on.",it's just an odd kind of prison sex.
5292,I'd have punched him myself.,I'd run him by myself.
5293,Yeah. I'll find you another exterminator.,I'll find you another derailment.
5294,Nobody hits my crew. That's my job.,no one's gonna hit my fucking people.
5295,"You know, I find that the most amazing creatures have furry behinds. sitting in Woolsey Nicholls' office, discussing the furry behinds of bees,","I found that the most amazing creatures had hairy asses When they sat in the Woolsey Nicholls office and talked to him about the hairy butt of bees,"
5296,"That makes him a schmuck? Well, his wife left him. He was passed over for a promotion and he just got bitch-slapped in the company parking lot.","the woman left him, during the fuss, he was skipped... and was beaten up in the company parking lot."
5297,He's a freak.,he's weird.
5298,live in this shithole?,he lived in this dump?
5299,What the heck is going on?,what the hell are you doing?
5300,"Then I put in my complaint and every chasso said it was probably your Humble Narrator, brothers, that started it all anyway, me having no mark of a scratch on me but this horrible plenny dipping red red krovvy from the rot where I'd got him with my clawing rooker.","then he made his complaint, and all the garb said it was probably your Cornish Pig, the brothers, who started it anyway, because I didn't even have a scratch on it, while it was dripping from the monster hole, where I'd hit him with a clenched-handed, red-red blazer."
5301,"You've been abusing and beating your wife and sons for years, haven't you?","you abused and you were your wife and sons - years, right?"
5302,"Only the goddamn nuns call me ""Edward"".","only the nuns called me ""Edward."""
5303,"""Boy, that sounded so dumb,"" Lois said, ""but I had to say something, didn't I?""","""well, it must have sounded rather silly,"" Lois said, ""but I had to say something, didn't I?"""
5304,"I got him coming out, I just didn't get him going back in.","I shot him as he came out, but I ain't got him back."
5305,Sometimes I can't believe the kind of shit I pull.,sometimes I can't believe what I'm capable of.
5306,Who fuckin' called you?,who called you?
5307,And that it was necessary for the physician to have bled you.,and that your doctor had to let you bleed.
5308,"Yeah, they got their licks in and put a gun in my mouth And told me to stay away from their boy.","then they pointed a gun at me, and they told me to stay away from him."
5309,"Damn it. It's gonna happen, guys.","something's going to happen, guys."
5310,Don't express your feelings or she'll slap you.,don't show your feelings or I'll slap you.
5311,"You risk your skin catching killers, and the juries turn them loose, so they can come back and shoot at you again.","you risk your skin when you catch killers, and the judge then sends them to freedom, so they can come back and shoot at you again."
5312,"No, it... it's just, you don't need the whole ten minutes to tell me what kind of hell you're in.","no, it's just that you needed ten minutes to tell me what hell you were."
5313,She's fucking with you.,he's just messing with you.
5314,They're freaking out.,they're scared shitless.
5315,"Well, I guess card tricks are lame.",I'd say card tricks are pathetic.
5316,Shoot the control box.,shoot to the controls.
5317,"And my friend Sharkslayer, he is a fake!","and here's my friend, the shark killer is a crook!"
5318,"This is a corner piece, Winston!","this is a piece of shit, Winston!"
5319,You're really laying it out.,you're really decomposing.
5320,These guys are animals.,these guys are game.
5321,L gots all the screws Black needs!,I have all the screwdrivers that Black needs!
5322,She's pretending to hate my guts.,he's pretending to hate my stomach.
5323,"Oh, right, Mr. Stupid-Germ-Phobia.","all right, Mr. Debilni Bakterofobics."
5324,"If you tell me I must marry you in ten days, please believe I will be dead by morning.","if you tell me I have to marry you in ten days, then believe you'll find me dead in the morning."
5325,When are we doing that shit again?,so when do we do it again?
5326,What's this about a sex doll?,what was the sex thing about?
5327,It's just a priest hexed by a witch because of some vampires.,it's just a priest upended for some vampire witch.
5328,And judging from the look on your face... ...you didn't come here to join me for pancakes.,"the way I look at your face, you don't come here to fuck with me."
5329,"But for us, you'd be dead.",you could have died.
5330,"Didn't catch his family name, but he was a fat one.","I don't know his family's name, but he was fat."
5331,"Go lick Beck's face, good boy.","lick Beck's face, good doggie."
5332,I was the one with the lethal licorice.,I was the one who had the deadly black batter.
5333,"Oh, my God! Gonorrhea!","oh my God, gonorrhea."
5334,"Okay, it's after 9, so this bar that Girl George is at, probably wall-to-wall dirtbags by now.","okay, it's after 9: 00, so that bar girl, George, is probably all dirty."
5335,"They had been running from it all day, running since the coming of dawn had persuaded them they must find a way to kill it.","they ran all day, but eventually they understood they had to find a way to destroy the wronk."
5336,You're just a frustrated English woman... who writes about dirty things but never does them.,"that you're just frustrated with an Englishwoman who writes about squeamish things, but she's never done it herself!"
5337,"Fuck, you know what time it is?",you know what time it is?
5338,Maybe one of y our mad friends like Anna threw it there,maybe your crazy friend Anna threw it in there.
5339,And risk killing that kid?,and risk the boy's life?
5340,"One's career might depend solely on one's own efforts, but marriage was a lottery, and you drew your lot in late adolescence or early adulthood at a point of maximum idiocy and confusion.","a man's career seems to depend on his quest, but marriage is as a gamble and his ticket is drawn at the end of puberty or on the threshold of adulthood, when he's still completely unconscious and confused."
5341,"""Don't bother thanking me for driving away only the most evil, awful, icky-looking frightosaurus that was materializing right here.","""don't bother thanking me for just throwing away the very bad, terrible, nasty-looking sort of thing that materialised right here."
5342,And your President Roosevelt is mad.,and your President Roosevelt is insane.
5343,I got a bead on the guy who killed those people.,I got a shot at the guy who killed those people.
5344,"Your ass is on the line here, too, mister.""","here's your neck, too, sir. """
5345,"With the mayor on our side, we fucking smashed it.","when we had a mayor on our side, we just spun it."
5346,"""Damned if I remember,"" Pete said.","""if you killed me, I wouldn't remember,"" Pete said."
5347,"If we watch it again during the day, we'll see how silly it is, and we'll totally laugh about it, and the movie will lose its power over us.","if we look at it over the day, we'll realize how we were fools and laugh about it, and the film will lose its power over us."
5348,But it would be one hell of a bonus if I had that talent of yours!,but I'd have a damn advantage if I had your talent!
5349,There is a kill chip next to the tracker on your medulla that will drop you instantly at the touch of a button.,"next to the targeting chip near the spinal cord, a lethal chip is placed to kill you immediately."
5350,What the hell is this here?,"what's this, then?"
5351,"I so badly wanted to tell them - he's not fucking another woman, he's in New York fucking you all!","I wanted to tell them so much - he's not going to be the other woman, he's in New York screaming you all!"
5352,Not if you was colored or Mexican.,not if they were black or Mexicans.
5353,"Hell, you' re the FBI !","damn, you're the Fbl!"
5354,"""Oh, look at them, they've only had sex with each other.""","""oh, look, the two were sleeping together."""
5355,"Oh, shit. Where's my bra?",where's my bra?
5356,"Without me, all you're doing is smoking pot in the forest in a flannel shirt and a hipster beard, like a fat Bon Iver, the fucking Jack Johnson of Wisconsin.","without me, you'd only be smoking a trawl in the woods, with your weird beard, in your flannel shirt, like some fat Bon Iver, or, like, Jack Johnson of Wisconsin."
5357,I'm a faker.,I'm a crook.
5358,"Me, I swing like Reggie.",I shoot like Reggie.
5359,"Ei! one keeps silent, Baker.","hey, shut up, Baker!"
5360,"Let go, dammit!",let go of me!
5361,What the hell?,what are you doing here?
5362,"You look like the kind of dude who wants people to think he's hood, but, no.","you look like the kind of idiot who wants others to think they're cool, but you're not."
5363,"Hurry, no time for pissing now!","come on, we don't have time for shit!"
5364,"One day when he was calmer, the keeper approached him and asked why, if he were a sovereign, he did not put an end to his detention, and why he remained mingled with madmen of all kinds.","one day when he was calmer, the supervisor approached him and asked him why his interment didn't end when he was king, why he remains among those fools of all kinds."
5365,"""I'm not accustomed to accepting the advice of uniformed flunkies,"" he sneered.","""I'm not used to taking advice from any loser in uniform,"" he said."
5366,Or maybe you just like watching Leviathans dive in and burn up.,or you just like to watch it flunk and burn Leviathan.
5367,Because a baby molester knocks you down? Takes your gun?,because he hit you with a pedophile and he took your gun?
5368,"Come on. Let's go. They're killing us all, aren't they, reducing population to make more time for the rest of you?","they will kill us all, that they will reduce the population to have the rest of you time."
5369,"I said, what you looking at?","I said, what the fuck are you looking at?"
5370,"Egan, how in the world can you eat so much of that crud?","Egan, how the hell do you eat that much crap?"
5371,It will ruin your already useless reputation.,or it will ruin your reputation for such a bad reputation.
5372,And I was thinking of punching the wall.,and I thought she might break through the wall.
5373,"What kind of world was it where you couldn't remember the fucking quadratic equation or the various forms of the French verb avoir two years after you got out of high school, but when you were getting on for forty years old you could still remember Nick-Nick-bo-bick, banana-fanna-fo-fick, fee-fi- mo-mick, Nick?","what kind of world is it, in two years after you go out of high school, you're no longer talking the stupid formula of quadratic equations, or the timing of a French verb of avoir, but in which you still remember in your 40s, Kalamajka, mik-mik-mik, married a comic?"
5374,Didn't I warn you 50 fucking times about this dog?,didn't I tell you to watch the dog?
5375,"He'sgonna hate it, you knucklehead!","he hates football, you joust!"
5376,"It was absolutely ridiculous, in her calmly considered opinion, for a child barely ten months old to already have no less than four trained, lethally competent, armed-to-the-teeth, omnipresent bodyguards.","according to her calmly considered opinion, it was utterly ridiculous that only a ten-month-old child had four to be trained, armed and ubiquitous on the teeth of an armed and ubiquitous bodyguard."
5377,Is there no end to this... ...accursed forest?,will the damn forest never end?
5378,A naughty boy-child... ...who killed his mother... ...and his father dead!,"keep it.... a naughty boy...... what he killed your mother, and then your father after her."
5379,Cease your assault upon Earth or face my wrath!,stop the attack on Earth or face my wrath!
5380,"I tried to stop him, but he said he would kill me, too, if I moved a muscle.","I tried to stop him, but he said he'd kill me if I moved."
5381,This woman... She's trying to fuck with me.,this woman... she's trying to cover up with me.
5382,"I remember, however, At a glance ... I lost","I don't recall, but when I summarize... I'm a loser."
5383,"They need to have constant mini eruptions to let off some of that pressure, or you're going to get hit with a giant one, like a huge one, like a fricking Pompeii,","I still have to have some little explosions to relieve the pressure, or you'll witness a gigantic explosion, like in fucking Pompeii, like your fiancée's sleep with the mayor."
5384,"Oh, my God. They've killed Kenny.","shit, they killed Kenny!"
5385,Because these two dumbasses picked the wrong guy.,"because over there, the two of those guys picked up the wrong guy."
5386,I don't have time to fucking talk with you all day.,I don't have time to talk to you all day.
5387,They're crap.,they're terrible.
5388,"I'm glad you and Lily are trying to work things out. So, to welcome you to our little family...","so to welcome you to our little family, I'm offering you this slap."
5389,You're the strangest man I ever met.,you're the weirdest man I know.
5390,I gobbed on your chicken.,I spit on your chicken.
5391,"Dad, marinating with you is cool.","dad, it's great to marinate with you."
5392,If I am to suffer her here at court then we shall call her by her proper name - the bastard girl Elizabeth!,"if I have to take her in court, then we will call her by her real name."
5393,I merely held onto a mortar shell in the first instance - - and then a cannon ball on the way back. You maniac!,but I held up the hitter's rounds on the way there - and the cannon balls on the way back.
5394,"But then, your source is a... Disgruntled ex-mistress with a history of head trauma.","but after all, your source is a grumpy old mistress with a head trauma."
5395,They will only make you miserable. Look at my poor father!,you'll only be unhappy as my poor father.
5396,"""Wash behind your ears!"" Schlob shrieked as she tore a narc limb from limb and discarded his armor like a candy wrapper.","'you don't wash behind your ears! 'Screamed Okula, lowering his limbs and clutching his armor like a paper from a candy bar."
5397,"Abner Marsh snapped up the shotgun and fired both barrels, point-blank, at his chest.","Abner Marsh picked up the barrel of the shotgun, and fired from both barrels into his chest."
5398,I am not so out of it that I dont know he doesnt respect my opinions on tactical matters.,I'm not stupid enough to recognize that she has no respect for my views on tactical terms.
5399,"Well, half of it is mine, you double-crossing crook!","the half is mine, you double-balled lumpy!"
5400,"'And you nag worse than a wife,' snapped Bane.","'you've got worse than your wife, 'said Bane."
5401,WALDO: You're a joke. You look less human than I do and I'm a made-up bear with a turquoise (BLEEP).,I'm more human than you and I'm an imaginary bear with a blue one.
5402,It's crucial that we destroy this nest.,it's imperative that we destroy this lair.
5403,After all the threats and all the bullshit... it turned out Ginger didn't tell them anything.,after all the threats... it turned out that Ginger didn't tell them anything.
5404,"""The fucking cop is Italian.""","""that's Italian for Italian."""
5405,"Catch him, I will toss him.","catch, I'll flip him."
5406,To change his whole blood.,replace all your blood.
5407,What the hell's the hurry?,what's the rush?
5408,Moron! That hurt.,that hurt.
5409,"I know you're pissed at me for going down on that woman, but are you trying to get me thrown in jail? - Shut the fuck up.","I know you're mad at me for being with that woman, but are you trying to get me in jail?"
5410,"He often fell into bad company, he reflected, although sometimes he had to look all day to find it, 'cos Brick was a loser's loser.","he thought he had often fallen into a bad company, though it sometimes took him a day to find one, because Brick was a smoother."
5411,They're who you shoot pool with on a Tuesday night and wind up boning on a futon.,"those are the ones you're playing with on Tuesday night, and it's gonna end up having sex on a mattress."
5412,You blind bat.,you're blind as a mole.
5413,I can't even tell if he's foolish or able.,I can't even tell if he's crazy or vice versa.
5414,"Yeah, I'd love to see a scan of your brain sometime.",I'd like to see a picture of your brain sometime.
5415,"Listen, you have gotta start somewhere in raising awareness- No, this is bullshit- this environmental policy discussion group.","listen, you've got to start pointing things out there. No, that's for discussion about environmental policy."
5416,'His mind must have been . . . unhinged.',"""he must have been a bit... Deranged."""
5417,I put her down and moved the hell on.,I jumped her and I went on the fucking way.
5418,Your choice is merely between life for you and Denise or purposeless instant death.,"you can choose either life for yourself and for Denise, or pointless instant death."
5419,"'Really, how tiresome,' said the fat man, and clapped a pair of hands so heavy with rings that the sound was more of a clang.","""really, how uncomfortable,"" said the thumper, and clapped his hands together, on which he had so many rings."
5420,"Ah, hell. Vegas is a cesspool.",Vegas is a cesspool.
5421,"I've known assholes in my time, But this guy-- This guy could give lessons.","I've learned an animal in my life, but this...... man could give lessons."
5422,Ifyou don't stop it before the sphere pops... it explodes.,"if you don't stop before the balls crack, it's gonna explode."
5423,"In the meantime, however, you will refrain from gratuitously and stupidly insulting the intelligence of people who've lived their whole lives facing that threat, or I will have you removed from this delegation.","but by then, you will cease needlessly and foolishly to insult the intelligence of people who have lived their entire lives in the face of that threat, or I will exclude you from this delegation."
5424,"Answers, not attitude,","answers, no bullshit,"
5425,"Tear it up, boys!","destroy it, men!"
5426,"Holy shit, Mrs. Jamison.","oh, my God, Mrs. Jamison."
5427,Don't eat the kitty!,don't eat pussy!
5428,I mean school sucks but I'm sure it sucked in Brooklyn too right?,"I mean, the school is terrible, but I'm sure it's not even in Brooklyn, is it?"
5429,"Destroy her, Josh! End this!",destroy your nightmare!
5430,"They attack, like white blood cells fighting an infection.",he's gonna attack like a white blood cell on a virus.
5431,I'm a mental patient with a gun.,I'm a hospital patient and I have a gun.
5432,You people are getting lazy,people are beginning to get lazy.
5433,You know what makes me insane?,do you know what makes a fool of me?
5434,"You know, I just tripped on the bloody rug!","you know, I just tripped over the damn rug."
5435,"Wrote it for my missus who's as bad as they come, but I love her sick.","I wrote it for my nanny, she's terrible, but I love her."
5436,Did you fucking piss your pants?,did you piss yourself?
5437,I don't care about the freaking neighbors!,I'm not interested in any neighbors.
5438,He calls everyone a thicko.,he calls everyone stupid.
5439,"And after a day of sightseeing, why not try spanking it in one of our charming city streets?","and after a pleasant day, you can jerk off in the streets of our beautiful city."
5440,I told you we should have trimmed it first.,I told you we should have cut him up first.
5441,"Shut it, no one passes out in a--","shut up, nobody's going to faint."
5442,Gawddanined ingratitude.,goddamn ungrateful!
5443,"Why do you bring them here, strumpet?","why do you bring these boys here, you whore?"
5444,"They stand there with their arms around each other's shoulders, two smiling fat men.","he stands there, holding around his shoulders, two smiling fat men."
5445,But you know what makes me feel like a turd?,you know when I could feel like a piece of shit?
5446,"Hey, you're black, right?","you're black, aren't you?"
5447,If it's only a matter of time I say we go down with a fight.,"if our death is only a matter of time, then I say we will die in battle!"
5448,"Which, as I understand it, involves the mass genocide of any being you find to be less than superior.","which would involve how I know, the extinction of all races that are less than yours."
5449,Our Captain is also very egoistic.,our captain is very selfish too.
5450,"Of all the sights I've seen in several dimensions, a blushing troll is in a category all its own.","from what I've seen in many dimensions, the red-faced troll is a category for itself."
5451,"And the mantra was: shoot first, ask questions later.","the rule was: Shoot first, then ask."
5452,But this is one of the old pieces of crap furniture that was in the place when I took it.,but that's one of the old pieces of horrible furniture that's been there since I took that apartment.
5453,"Good, 'cause he's kind of sketchy.","all right, 'cause he's a little crooked."
5454,Take an up close and personal look at these parasites.,let's take a closer look at the parasites.
5455,"if I have my way, I'll pull the damn thing down brick by brick.","to be on my own, I'll have him dismantled by brick by brick."
5456,Hi. Could you get someone who can explain to me... ...why my insurance policy is sitting downstairs on my fucking sofa?!,maybe you'd like to explain to me why my life insurance policy is on my couch?
5457,"And you already have just a filthy, hot mouth.","and you already have..... .Cut, sexy kisses."
5458,"Listen to us, Johan.","fuck us, Johan."
5459,You killed Kenny!,"shit, they killed Kenny!"
5460,I made a practical goddamn business decision.,I made practical business decisions.
5461,You lick his fingers.,you lick his hands.
5462,Is this your idea of some sick joke?,is this some kind of stupid joke?
5463,"Cos everyone's dressed up, it's a Saturday night,","'cause everybody's fucked up, it's Saturday night,"
5464,"And if we don't implant the lvad pump, he'll die.","if we don't give him the pump, he dies."
5465,"What you doing, Hoss?",what the hell are you doing?
5466,"Because I tell you, your little brain cell might go off now and again, but if your hands even go to move and you try setting up the Islamic state of Tinsley again, going to university lectures, opening your big mouth, buying some more silver nitrate from Amazon,","your little brain cell will shut down, but if you try to set up an Islamic State of Tensley again, you're gonna open your mouth at the university, or you're going to buy a silver thread through Amazon,"
5467,"You know, lady, all of us, at one point or another have wanted to shoot Michael Holt.","you know, ma'am, we all want to shoot Michael Holt."
5468,"Shep, what the hell you doin'?",what are you doing?
5469,"This Friday night, the street is being closed down for traffic light repair, they're switchin' em over to L.E.D. or some shit.","on Friday night, the street will be closed for fixing traffic lights, turning them into LEDs or something like that."
5470,Rick's gotten so cocky.,Rick is so arrogant right now.
5471,Don't tell Antoine or I'll beat you up.,"don't tell Antoine, or you'll see."
5472,"If you would've jumped, you would've died.","if you had jumped, you'd be dead."
5473,"'Why, you wicked man, a cloister implies a monk, and a monk Roman Catholicism.'","""the sinner one, the monastery is to be a monk, and a monk is Roman Catholicism!"
5474,He scooped up both of us.,he fucked us up.
5475,She was a drug addict.,she was on drugs.
5476,We're totally gonna make it in time for the bands that don't suck anyway.,"it's okay to make it, at least the groups that don't suck."
5477,I think I figured out who Zalman was paid to kill.,I think I figured out who Zalman should have killed.
5478,"I told you, the shit ain't mine.",I'm saying the gun isn't mine.
5479,"If he did, Paolo would not hesitate to kill him and claim victory.","if it had happened, Paolo would have killed him without hesitation and secured the victory."
5480,External genitalia are more susceptible. What?,external genitals are sensitive.
5481,"Brian, who in their right mind would want to do that?","Brian, who the hell would want to do this?"
5482,"Now, why'd you have to go and kill that maenad?",why did you have to kill that backlash?
5483,You're seeing your obscene phone caller?,do you visit the filthy guy in the phone company?
5484,That's just a little fella.,just a little piggy.
5485,"Then try and shoot straight, you incompetent. It'd make a nice change.","so you try shooting straight, it would be a nice change."
5486,"Get 'em up, you French ponce.","get up, you French frog?"
5487,Mexico was a nightmare.,Mexico... was... a nightmare.
5488,"Before the horrid ravaging reduced her to the frail, the emaciated, worm-eaten thing... that she became.","before the terrible breakup, she turned into a hammerhead, a skinny, black-haired thing...... she's become... so fucking obvious..."
5489,"You're a ridiculous person, you know that?","you're a funny person, you know?"
5490,Ain't that ugly over there?,doesn't it look nasty?
5491,"Nancy, right now I'm in danger of losing my most important client. So this caring parent crap and the brickering that goes along with it...","Nancy, I'm in danger of losing my most important client, so you understand that I can't solve my son's educational problems right now."
5492,"I'll start dating her, so I can break up with her and start dating a stripper.",I'm gonna start dating her just so I can break up with her and start with a stripper.
5493,I was really lucky to be chased out of high school by a bully who threatened to kill me.,I was lucky to be chased after school and the tyrant threatened me with death.
5494,Spit it out. I don't give a fuck if your dad built the pyramids.,I don't care if your father built pyramids.
5495,"And I'm gonna bury it... ...in this ground,and I'm gonna leave the territory.","and I'm gonna bury them in this country, and I'm gonna walk out of here."
5496,Thrace needs our help. To hell with Thrace.,we have to help the Thrace.
5497,I lived in fear that they will in the middle of the night come to kill me.,I woke up in the middle of the night and thought he had come to kill me.
5498,What are you faggots talking about?,what are you talking about?
5499,Get your hands off my fucking head !,get your hands off my neck!
5500,"Bye, pirates.","later, pirates!"
5501,"Poor, lifeless hulk, an immobile derelict gracing the red turf of Lunitari.","out of the poor fuselage, he became an immovable wreck that decorated the red surface of Lunitari."
5502,"You already dead, see?","you're already dead, you know?"
5503,"Cupid have mercy, not a word?","grace, do you have a word?"
